x_mm,y_mm,thickness_mm
3.061224489795918302e+01,7.179487179487179560e+01,9.000000000000000000e+00
3.061224489795918302e+01,7.692307692307693401e+01,8.999999790105910336e+00
3.061224489795918302e+01,8.205128205128205821e+01,1.917021857623838699e+00
3.061224489795918302e+01,8.717948717948718240e+01,1.500000001212552503e+00
3.061224489795918302e+01,9.230769230769232081e+01,1.500000000000000000e+00
3.061224489795918302e+01,9.743589743589744501e+01,1.500000000000000000e+00
3.061224489795918302e+01,1.025641025641025692e+02,1.500000000000000000e+00
3.061224489795918302e+01,1.076923076923077076e+02,1.500000000000000000e+00
3.061224489795918302e+01,1.128205128205128318e+02,1.500000000000000000e+00
3.061224489795918302e+01,1.179487179487179560e+02,1.500000000000000000e+00
